عطفی	عطف
پژوهشی	پژوهش
شدیدی	شدید
بزرگ‌ترین	بزرگ
فیزیکی‌ای	فیزیکی
فیزیکی‌ای	فیزیکی
مناسبی	مناسب
بهترین	به
انگشت‌شماری	انگشت‌شمار
بزرگ‌تری	بزرگتر
بدتر	بد
بزرگ‌ترین	بزرگ
بهترین	به
دارای	دارا
قدیمی‌ترین	قدیمی
کمتر	کم
خاصی	خاص
سرسپردهٔ	سرسپرده
توفان‌زدهٔ	توفان‌زده
دیگری	دیگر
راحت‌تر	راحت
جلوتر	جلو
بدبختی	بدبخت
خنثای	خنثا
ملعبهٔ	ملعبه
فراوانی	فراوان
کمتر	کم
پیرترین	پیر
آمادهٔ	آماده
بیشتر	بیش
براندازانهٔ	براندازانه
کوچک‌ترین	کوچک
مؤثری	مؤثر
زیادی	زیاد
بیشتر	بیش
امیدبخشی	امیدبخش
زیادی	زیاد
بهترین	به
زیادی	زیاد
چندانی	چندان
امپراتورگونهٔ	امپراتورگونه
پیشرفتهٔ	پیشرفته
تحریک‌کنندهٔ	تحریک‌کننده
بزرگی	بزرگ
بهترین	به
دیگری	دیگر
زیادی	زیاد
دانمارکی	دانمارک
ماهرترین	ماهر
بهترین	به
خارجهٔ	خارجه
پیش‌تر	پیش
آیندهٔ	آینده
زیادی	زیاد
فدای	فدا
مطمئن‌تر	مطمئن
بهترین	به
زیادی	زیاد
دیگری	دیگر
ویژهٔ	ویژه
خاصی	خاص
بیشتر	بیش
زیادی	زیاد
بهترین	به
بدترین	بد
پیش‌تر	پیش
ایمن‌تر	ایمن
بیشتر	بیش
دیگری	دیگر
سیاه‌ترین	سیاه
وحشی‌ترین	وحشی
واسطهٔ	واسطه
زیادی	زیاد
کوچک‌تر	کوچک
جدیدی	جدید
بحرانی	بحران
عمیق‌ترین	عمیق
کوتاهی	کوتاه
پرانرژی‌تر	پرانرژی
بیشتر	بیش
درخشانی	درخشان
پیش‌تر	پیش
بیشتر	بیش
بالای	بالا
عمدهٔ	عمده
زیادی	زیاد
بیشتری	بیش
چرخانندهٔ	چرخاننده
ناجوانمردانه‌ترین	ناجوانمردانه
دیگری	دیگر
دیگری	دیگر
زیادی	زیاد
فراوانی	فراوان
خلاصه‌ها	خلاصه
وحیانی	وحی
فاضلی	فاضل
بزرگی	بزرگ
بهترین	به
مفصل‌تری	مفصل
چندمنظورهٔ	چندمنظوره
مختلفی	مختلف
مسلمانی	مسلمان
مهم‌ترین	مهم
کهنهٔ	کهنه
جدیدتر	جدید
بیشتر	بیش
مهم‌ترین	مهم
جلوتر	جلو
بدی	بد
بی‌نظیری	بی‌نظیر
بردهٔ	برده
سبکی	سبک
شکستهٔ	شکسته
بهترین	به
بهتر	به
کمتر	کم
کمتر	کم
بیشتر	بیش
بیشتر	بیش
بالاتر	بالا
بیشتر	بیش
سربلندی	سربلند
کوچکی	کوچک
بدی	بد
بیشتر	بیش
نامربوطی	نامربوط
پست‌ترین	پست
بیمارترین	بیمار
سیاه‌رنگی	سیاه‌رنگ
کوچک‌ترین	کوچک
والاترین	والا
بالایی	بالا
ارزشمندی	ارزشمند
انسان‌دوستانهٔ	انسان‌دوستانه
جدیدی	جدید
جدیدی	جدید
سلطه‌گرایانهٔ	سلطه‌گرایانه
گسترده‌ای	گسترده
برجستهٔ	برجسته
بیشتر	بیش
زودتر	زود
بهتر	به
زودتر	زود
هرزهٔ	هرزه
اعلی‌ترین	اعلی
بهترین	به
قاطعی	قاطع
بهتر	به
مهمی	مهم
دیگری	دیگر
بیشتر	بیش
کمتر	کم
پیش‌تر	پیش
قوی‌ترین	قوی
عمیقی	عمیق
گوناگونی	گوناگون
زیباترین	زیبا
دیگری	دیگر
باارزش‌ترین	باارزش
ساده‌ترین	ساده
بیشتری	بیش
دوبارهٔ	دوباره
بیشتر	بیش
بدی	بد
دیگری	دیگر
بعدی	بعد
کنسروشدهٔ	کنسروشده
کوچکی	کوچک
دیگری	دیگر
جدیدی	جدید
کمتر	کم
برجستهٔ	برجسته
کوتاهی	کوتاه
سرمه‌ای	سرمه
بالایی	بالا
زیادی	زیاد
بیشتر	بیش
متعددی	متعدد
بلندپایهٔ	بلندپایه
اعجاب‌آوری	اعجاب‌آور
متعددی	متعدد
تعیین‌شدهٔ	تعیین‌شده
پارهٔ	پاره
تواناتر	توانا
بهترین	به
مرغوب‌تر	مرغوب
بیشتری	بیش
کمتری	کم
مبارکهٔ	مبارکه
خوبی	خوب
گذشتهٔ	گذشته
جدیدی	جدید
بزرگ‌ترین	بزرگ
مرغوبی	مرغوب
رسایی	رسا
کمتر	کم
بیشتر	بیش
کمتر	کم
ملموسی	ملموس
بدتر	بد
جدیدی	جدید
زیادی	زیاد
پایین‌تر	پایین
کمتر	کم
مادهٔ	ماده
متنوعی	متنوع
دیگری	دیگر
مشخص‌تر	مشخص
زیادی	زیاد
جدیدی	جدید
سوئی	سوء
ماههٔ	ماهه
بیشتر	بیش
جدیدی	جدید
تازهٔ	تازه
نوی	نو
خاصی	خاص
